date,symbol,omset,order,profit
2021-01-07,PRE,0,0,0
2021-01-16,PRE,1900000,1,1300000
2021-01-23,ENG,1600000,1,1000000
2021-01-30,PRE,0,0,0
2021-02-06,PRE,0,0,0
2021-02-13,PRE,2000000,1,1400000
2021-02-20,PRE,0,0,0
2021-02-27,ENG,1700000,1,1100000
2021-03-06,PRE,0,0,0
2021-03-13,PRE,0,0,0
2021-03-20,PRE,2100000,1,1500000
2021-03-27,ENG,1700000,1,1100000
2021-04-03,PRE,0,0,0
2021-04-10,PRE,2000000,1,1400000
2021-04-17,PRE,0,0,0
2021-04-24,PRE,2000000,1,1400000
2021-05-01,PRE,0,0,0
2021-05-08,PRE,1900000,1,1300000
2021-05-15,PRE,0,0,0
2021-05-22,PRE,0,0,0
2021-05-29,PRE,1900000,1,1300000
2021-06-05,PRE,0,0,0
2021-06-12,ENG,1700000,1,1100000
2021-06-19,PRE,2000000,1,1400000
2021-06-26,PRE,0,0,0
2021-07-05,PRE,1800000,1,1200000
2021-07-021,PRE,180000,1,1200000
2021-08-24,ENG,1700000,1,1100000
2021-09-11,PRE,2000000,1,1400000
2021-09-27,PRE,2000000,1,1400000
2021-10-04,PRE,1800000,1,1200000
2021-10-17,ENG,1700000,1,1100000
2021-10-29,PRE,2000000,1,1400000
2021-11-05,PRE,2000000,1,1400000
2021-11-18,PRE,2000000,1,1400000
2021-11-26,PRE,1800000,1,1200000
2021-12-03,ENG,3000000,2,1000000
2021-12-12,ENG,4500000,3,1500000
2021-12-19,PRE,7000000,4,2400000
2021-12-28,PRE,6500000,3,2200000
2022-01-05,WED,3000000,1,1000000
2022-01-11,ENG,4500000,3,1500000
2022-01-22,PRE,7000000,4,2400000
2022-01-30,PRE,5500000,3,1900000
2022-02-08,ENG,6000000,4,2000000
2022-02-15,WED,3000000,1,1000000
2022-02-23,WED,3000000,1,1000000
2022-02-23,PRE,5000000,3,1700000
2022-03-04,WED,3000000,1,1000000
2022-03-12,ENG,4500000,4,1500000
2022-03-20,WED,2700000,1,900000
2022-03-29,WED,2700000,1,900000
2022-04-06,ENG,4700000,3,1200000
2022-04-13,WED,2700000,1,900000
2022-04-20,PRE,9600000,5,3200000
2022-04-26,WED,3000000,1,700000
2022-05-03,PRE,6200000,3,2100000
2022-05-10,WED,5400000,2,1900000
2022-05-19,ENG,8200000,3,2800000
2022-05-29,WED,2800000,1,100000
2022-06-01,PRE,1800000,1,600000
2022-06-09,WED,6000000,2,2100000
2022-06-15,ENG,7900000,5,2700000
2022-06-23,PRE,6800000,3,2300000
2022-07-09,ENG,6400000,4,2300000
2022-07-18,WED,8500000,3,2700000
2022-07-22,ENG,4700000,3,1700000
2022-07-30,WED,3000000,1,1200000
2022-08-01,PRE,7700000,4,2800000
2022-08-08,ENG,8600000,4,2300000
2022-08-21,WED,11400000,4,3800000
2022-08-31,ENG,6400000,4,1600000
