"date,type,like"
"2022-04-10,PT,19"
"2022-04-10,PT,17"
"2022-04-10,PT,22"
"2022-04-11,PT,18"
"2022-04-11,PT,24"
"2022-04-11,PT,18"
"2022-04-12,PT,19"
"2022-04-12,TY,178"
"2022-04-12,PT,17"
"2022-04-13,TY,112"
"2022-04-13,PT,15"
"2022-04-13,PT,13"
"2022-04-14,TY,137"
"2022-04-14,PT,24"
"2022-04-14,PT,17"
"2022-04-15,PT,19"
"2022-04-15,PT,12"
"2022-04-15,PT,15"
"2022-04-18,PT,16"
"2022-04-18,TY,204"
"2022-04-18,PT,13"
"2022-04-19,PT,15"
"2022-04-19,TY,151"
"2022-04-19,PT,15"
"2022-04-20,PT,15"
"2022-04-20,TY,150"
"2022-04-20,PT,11"
"2022-04-21,PT,26"
"2022-04-21,TY,200"
"2022-04-21,PT,11"
"2022-05-29,PT,25"
"2022-05-31,TY,65"
"2022-06-11,PT,19"
"2022-08-09,PT,19"
"2022-08-11,PT,11"
"2022-08-11,PT,12"
"2022-08-12,PT,24"
"2022-08-12,PT,17"
"2022-08-13,PT,13"
"2022-08-14,PT,147"
"2022-08-15,PT,77"
"2022-08-16,PT,33"
"2022-10-18,PT,38"
"2022-10-18,TY,259"
"2022-10-18,PT,17"
"2022-10-19,PT,13"
"2022-10-19,TY,101"
"2022-10-19,PT,12"
"2022-10-20,PT,10"
"2022-10-20,TY,78"
"2022-10-20,PT,10"
"2022-10-21,PT,20"
"2022-10-21,PT,26"
"2022-10-21,PT,13"
